Time,Image,Accuracy,Decimal min
0:07:30,53,98.2,7.5
0:15:54,130,98.4,15.9
0:06:54,25,98.2,6.9
0:05:51,60,98.1,5.85
0:10:19,77,98.7,10.32
0:05:28,22,98.4,5.47
0:19:39,35,98.3,19.65
0:10:26,75,98.1,10.43
0:13:29,53,98.1,13.48
0:06:08,32,98.3,6.13
0:01:57,14,98.4,1.95
0:29:06,217,98.1,29.1
0:06:33,39,98.3,6.55
0:03:43,24,98.3,3.72
0:10:45,43,98.1,10.75
0:10:23,90,98.1,10.38
0:02:01,13,98.1,2.02
0:12:09,81,98.2,12.15
0:04:25,15,98.1,4.42
0:03:49,38,98.7,3.82
0:06:58,43,98.4,6.97
0:05:57,21,98.2,5.95
0:12:41,74,98.3,12.68
0:11:58,84,98.4,11.97
0:01:34,11,98.7,1.57
0:26:53,117,98.1,26.88
0:11:12,25,98.3,11.2
0:21:51,101,99.3,21.85
0:10:04,43,98.2,10.07
0:03:30,18,98.1,3.5
0:04:40,21,98.4,4.67
0:01:55,12,98.3,1.92
0:11:44,70,98.1,11.73
0:03:38,18,98.3,3.63
0:18:51,61,98.4,18.85
0:05:38,36,98.2,5.63
0:09:24,37,98.4,9.4
0:03:03,23,98.4,3.05
0:07:45,77,98.2,7.75
0:03:20,20,98.4,3.33
0:02:40,18,98.1,2.67
0:03:17,10,98.8,3.28
0:17:26,69,98.5,17.43
0:13:30,76,99,13.5
0:07:27,61,98.1,7.45
0:03:28,15,98.8,3.47
0:03:13,17,98.3,3.22
0:07:10,18,98.1,7.17
0:03:20,25,98.1,3.33
0:05:10,27,98.1,5.17
