UserID,Phase,Time,Accuracy
2340,Pre-training,0:18:03,95.96
2340,Training,0:05:41,98.2
2340,Post-training,0:30:38,96.84
2345,Pre-training,0:11:35,87.52
2345,Training,0:04:13,98.3
2345,Post-training,0:17:52,95.53
2346,Pre-training,0:05:40,94.7
2346,Training,0:07:13,98.1
2346,Post-training,0:10:08,96.4
2347,Pre-training,0:04:10,53.36
2347,Training,0:05:03,98.2
2347,Post-training,0:08:48,95.06
2348,Pre-training,0:04:10,85.68
2348,Training,0:01:47,98.1
2348,Post-training,0:07:55,95.88
2349,Pre-training,0:06:27,93.06
2349,Training,0:06:09,98.1
2349,Post-training,0:12:32,96.98
2350,Pre-training,0:10:09,93.66
2350,Training,0:01:05,98.3
2350,Post-training,0:14:16,97.2
2353,Pre-training,0:03:18,74.38
2353,Training,0:01:49,98.1
2353,Post-training,0:07:29,94.68
2355,Pre-training,0:09:05,82.86
2355,Training,0:21:11,98.2
2355,Post-training,0:15:24,96
2358,Pre-training,0:05:06,93.73
2358,Training,0:02:18,98.2
2358,Post-training,0:13:12,96.44
2359,Pre-training,0:09:42,90.14
2359,Training,0:05:14,98.6
2359,Post-training,0:14:57,95.64
2360,Pre-training,0:06:20,78.1
2360,Training,0:02:50,98.1
2360,Post-training,0:13:41,95.92
2369,Pre-training,0:05:51,96.32
2369,Training,0:04:01,98.3
2369,Post-training,0:11:14,95.24
2370,Pre-training,0:08:32,86.32
2370,Training,0:08:07,98.1
2370,Post-training,0:14:50,95.88
2372,Pre-training,0:14:46,91.58
2372,Training,0:02:44,98.6
2372,Post-training,0:25:28,95.08
2373,Pre-training,0:07:12,95.32
2373,Training,0:01:36,98.5
2373,Post-training,0:14:20,95.42
2374,Pre-training,0:04:44,90.56
2374,Training,0:03:43,98.4
2374,Post-training,0:09:18,96.76
2376,Pre-training,0:06:47,85.86
2376,Training,0:04:35,98.3
2376,Post-training,0:12:46,97.55
2377,Pre-training,0:05:51,93.58
2377,Training,0:03:37,98.1
2377,Post-training,0:10:53,93.78
2379,Pre-training,0:05:55,93.38
2379,Training,0:07:14,98.3
2379,Post-training,0:11:46,94.84
2381,Pre-training,0:04:02,73.4
2381,Training,0:05:21,98.2
2381,Post-training,0:07:14,94
2383,Pre-training,0:02:41,88.92
2383,Training,0:06:43,98.4
2383,Post-training,0:04:37,90.1
2384,Pre-training,0:02:44,94.16
2384,Training,0:14:25,98.3
2384,Post-training,0:04:16,74.92
2385,Pre-training,0:02:24,63.12
2385,Training,0:02:45,98.7
2385,Post-training,0:05:10,93.65
2386,Pre-training,0:06:44,92.44
2386,Training,0:09:50,98.4
2386,Post-training,0:13:57,94.94
2388,Pre-training,0:14:49,97.58
2388,Training,0:11:32,98.2
2388,Post-training,0:24:03,97.2
2390,Pre-training,0:09:45,92.04
2390,Training,0:07:39,98.1
2390,Post-training,0:17:31,96.24
2393,Pre-training,0:10:48,90.84
2393,Training,0:04:54,98.1
2393,Post-training,0:18:58,95.34
2395,Pre-training,0:04:49,68
2395,Training,0:02:30,98.5
2395,Post-training,0:10:04,94.3
2396,Pre-training,0:04:22,93.9
2396,Training,0:02:56,98.5
2396,Post-training,0:06:29,92.76
2397,Pre-training,0:04:01,94.76
2397,Training,0:01:27,98.1
2397,Post-training,0:07:29,94.82
2398,Pre-training,0:09:32,79.26
2398,Training,0:05:26,98.1
2398,Post-training,0:19:19,94.22
2399,Pre-training,0:05:30,90.62
2399,Training,0:03:08,98.6
2399,Post-training,0:08:15,88.25
2401,Pre-training,0:00:31,88.1
2401,Training,0:12:44,98.5
2401,Post-training,0:01:17,91.6
2402,Pre-training,0:00:29,87.98
2402,Training,0:05:17,98.1
2402,Post-training,0:01:33,83.65
2403,Pre-training,0:01:07,90.82
2403,Training,0:01:37,98.2
2403,Post-training,0:01:43,82.32
2404,Pre-training,0:00:35,91.38
2404,Training,0:04:43,98.5
2404,Post-training,0:01:25,88.7
2409,Pre-training,0:09:03,85.58
2409,Training,0:03:16,98.1
2409,Post-training,0:19:02,93.04
2412,Pre-training,0:00:40,91.12
2412,Training,0:03:25,98.1
2412,Post-training,0:01:08,93.2
2413,Pre-training,0:05:01,91.88
2413,Training,0:05:38,98.2
2413,Post-training,0:10:04,94.16
2414,Pre-training,0:23:26,93.96
2414,Training,0:05:07,98.1
2414,Post-training,0:45:40,94.32
2415,Pre-training,0:08:26,76.56
2415,Training,0:13:43,98.8
2415,Post-training,0:15:05,97.04
2420,Pre-training,0:05:03,93.46
2420,Training,0:04:32,98.4
2420,Post-training,0:09:58,95.44
2421,Pre-training,0:05:07,91.8
2421,Training,0:09:13,98.3
2421,Post-training,0:11:27,97.42
2422,Pre-training,0:03:56,67.92
2422,Training,0:03:16,98.2
2422,Post-training,0:08:44,94.45
2423,Pre-training,0:08:06,86.44
2423,Training,0:02:39,98.3
2423,Post-training,0:16:34,92.58
2424,Pre-training,0:05:00,72.8
2424,Training,0:02:52,98.2
2424,Post-training,0:10:50,95.5
2427,Pre-training,0:10:41,93.54
2427,Training,0:04:04,98.5
2427,Post-training,0:25:50,96.7
2428,Pre-training,0:17:52,94.64
2428,Training,0:09:00,98.2
2428,Post-training,0:32:50,96.3
2480,Pre-training,0:04:40,95.06
2480,Training,0:03:22,98.2
2480,Post-training,0:09:45,96.2
2481,Pre-training,0:03:22,52.04
2481,Training,0:16:11,98.2
2481,Post-training,0:07:26,92.12
2496,Pre-training,0:06:54,90.98
2496,Training,0:17:23,98.3
2496,Post-training,0:13:17,93.78
